school,jmtes,student_id,grade,female,gender,black,race_ethnicity,age,meal_status,entry_code,report_school_days,full_school_year_days,unexcused_absences,excused_absences,total_absences,unexcused_pct,excused_pct,total_pct
JMTES,1,600409874,KF,1,Female,1,Black,6,05,R,170,170,13.0,0.0,13.0,7.647058823529412,0.0,7.647058823529412
JMTES,1,600406441,03,1,Female,1,Black,8,06,R,170,170,4.0,2.0,6.0,2.3529411764705883,1.1764705882352942,3.5294117647058822
JMTES,1,600411408,01,1,Female,0,NonBlack,7,05,R,170,170,8.0,10.0,18.0,4.705882352941177,5.88235294117647,10.588235294117647
JMTES,1,600412824,KF,0,Male,1,Black,6,04,R,170,170,19.0,8.0,27.0,11.176470588235295,4.705882352941177,15.88235294117647
JMTES,1,600409929,01,0,Male,1,Black,7,04,R,170,170,7.0,2.0,9.0,4.117647058823529,1.1764705882352942,5.294117647058823
JMTES,1,600409921,01,1,Female,0,NonBlack,7,03,R,170,170,9.0,5.0,14.0,5.294117647058823,2.941176470588235,8.235294117647058
JMTES,1,600411584,05,1,Female,1,Black,11,04,R,170,170,20.0,0.0,20.0,11.76470588235294,0.0,11.76470588235294
JMTES,1,600411406,01,1,Female,1,Black,6,03,R,170,170,5.0,4.0,9.0,2.941176470588235,2.3529411764705883,5.294117647058823
JMTES,1,600407953,04,1,Female,0,NonBlack,10,05,R,170,170,8.0,0.0,8.0,4.705882352941177,0.0,4.705882352941177
JMTES,1,600413105,04,1,Female,1,Black,10,03,S,170,170,9.0,0.0,9.0,5.294117647058823,0.0,5.294117647058823
JMTES,1,600413104,03,1,Female,1,Black,9,03,S,170,170,9.0,0.0,9.0,5.294117647058823,0.0,5.294117647058823
JMTES,1,600406689,05,0,Male,1,Black,11,03,R,170,170,18.0,0.0,18.0,10.588235294117647,0.0,10.588235294117647
JMTES,1,600412610,02,1,Female,1,Black,7,03,S,170,170,22.0,3.0,25.0,12.941176470588237,1.7647058823529411,14.705882352941178
JMTES,1,600406949,03,0,Male,0,NonBlack,9,05,R,170,170,10.0,10.0,20.0,5.88235294117647,5.88235294117647,11.76470588235294
JMTES,1,600408602,03,0,Male,0,NonBlack,8,05,R,170,170,3.0,23.0,26.0,1.7647058823529411,13.529411764705882,15.294117647058824
JMTES,1,600405562,04,1,Female,0,NonBlack,10,05,R,170,170,17.0,8.0,25.0,10.0,4.705882352941177,14.705882352941178
JMTES,1,600406322,04,1,Female,0,NonBlack,10,05,R,170,170,10.0,4.0,14.0,5.88235294117647,2.3529411764705883,8.235294117647058
JMTES,1,600411674,01,1,Female,1,Black,7,04,R,170,170,14.0,3.0,17.0,8.235294117647058,1.7647058823529411,10.0
JMTES,1,600412517,04,0,Male,1,Black,10,05,C,170,170,20.0,10.0,30.0,11.76470588235294,5.88235294117647,17.647058823529413
JMTES,1,600408958,03,1,Female,0,NonBlack,9,04,R,170,170,10.0,6.0,16.0,5.88235294117647,3.5294117647058822,9.411764705882353
JMTES,1,600408041,04,1,Female,1,Black,9,05,R,170,170,16.0,0.0,16.0,9.411764705882353,0.0,9.411764705882353
JMTES,1,600409876,KF,1,Female,1,Black,5,04,R,170,170,27.0,0.0,27.0,15.88235294117647,0.0,15.88235294117647
JMTES,1,600410311,02,0,Male,0,NonBlack,8,05,R,170,170,7.0,2.0,9.0,4.117647058823529,1.1764705882352942,5.294117647058823
JMTES,1,600412771,KF,1,Female,0,NonBlack,7,03,R,170,170,10.0,3.0,13.0,5.88235294117647,1.7647058823529411,7.647058823529412
JMTES,1,600410595,02,0,Male,0,NonBlack,9,05,R,170,170,3.0,7.0,10.0,1.7647058823529411,4.117647058823529,5.88235294117647
JMTES,1,600410517,02,1,Female,1,Black,8,04,R,170,170,8.0,1.0,9.0,4.705882352941177,0.5882352941176471,5.294117647058823
JMTES,1,600410407,01,1,Female,1,Black,7,04,R,170,170,13.0,3.0,16.0,7.647058823529412,1.7647058823529411,9.411764705882353
JMTES,1,600409200,03,1,Female,1,Black,8,04,R,170,170,13.0,1.0,14.0,7.647058823529412,0.5882352941176471,8.235294117647058
JMTES,1,600412149,KF,1,Female,1,Black,5,04,R,170,170,11.0,3.0,14.0,6.470588235294119,1.7647058823529411,8.235294117647058
JMTES,1,600404981,05,1,Female,1,Black,11,05,R,170,170,4.0,2.0,6.0,2.3529411764705883,1.1764705882352942,3.5294117647058822
JMTES,1,600408749,02,1,Female,1,Black,8,04,R,170,170,7.0,1.0,8.0,4.117647058823529,0.5882352941176471,4.705882352941177
JMTES,1,600409877,KF,1,Female,1,Black,6,05,R,170,170,23.0,0.0,23.0,13.529411764705882,0.0,13.529411764705882
JMTES,1,600411363,04,0,Male,1,Black,10,04,R,170,170,17.0,2.0,19.0,10.0,1.1764705882352942,11.176470588235295
JMTES,1,600411361,03,1,Female,1,Black,9,04,R,170,170,35.0,1.0,36.0,20.588235294117645,0.5882352941176471,21.176470588235293
JMTES,1,600410503,02,0,Male,1,Black,8,04,R,170,170,3.0,0.0,3.0,1.7647058823529411,0.0,1.7647058823529411
JMTES,1,600409309,03,1,Female,1,Black,9,04,R,170,170,3.0,0.0,3.0,1.7647058823529411,0.0,1.7647058823529411
JMTES,1,600408350,04,1,Female,1,Black,10,04,R,170,170,10.0,2.0,12.0,5.88235294117647,1.1764705882352942,7.0588235294117645
JMTES,1,600413144,01,0,Male,1,Black,8,03,R,170,170,14.0,0.0,14.0,8.235294117647058,0.0,8.235294117647058
