Student Id,Student Grade,Gender,Ethnic Name,Student Age,Meal Status Code,Student Status Current,Entry Date - E/W,Entry Code - E/W,Unexcused,Excused,L-1,L-2,L-3,L-4,Local,Transportation 1,Transportation 2,Transportation 3,Report School Days,Full School Year Days,Excused Absences Adjusted to 170-Day Year,Unexcused Absences Adjusted to 170-Day Year,Excused Absence %,Unexcused Absence %,Total Absences,Total Absences Adjusted to 170-Day Year,Total Absence %
600409874 ,KF,Female,Black   ,6,05   ,A,45887.0,R    ,13.0,0.0,0,0,0,0,0,0,0,0,170,170,0,13,0,7.65,13,13,7.65
600406441 ,03,Female,Black   ,8,06   ,A,45887.0,R    ,4.0,2.0,0,0,0,0,0,0,0,0,170,170,2,4,1.18,2.35,6,6,3.53
600411408 ,01,Female,NonBlack,7,05   ,A,45887.0,R    ,8.0,10.0,0,0,0,0,0,0,0,0,170,170,10,8,5.88,4.71,18,18,10.59
600412824 ,KF,Male  ,Black   ,6,04   ,A,45895.0,R    ,19.0,8.0,0,0,0,0,0,0,0,0,170,170,8,19,4.71,11.18,27,27,15.88
600409929 ,01,Male  ,Black   ,7,04   ,A,45887.0,R    ,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,170,170,2,7,1.18,4.12,9,9,5.29
600409921 ,01,Female,NonBlack,7,03   ,A,45887.0,R    ,9.0,5.0,0,0,0,0,0,0,0,0,170,170,5,9,2.94,5.29,14,14,8.24
600411584 ,05,Female,Black   ,11,04   ,A,45887.0,R    ,20.0,0.0,0,0,0,0,0,0,0,0,170,170,0,20,0,11.76,20,20,11.76
600411406 ,01,Female,Black   ,6,03   ,A,45887.0,R    ,5.0,4.0,0,0,0,0,0,0,0,0,170,170,4,5,2.35,2.94,9,9,5.29
600407953 ,04,Female,NonBlack,10,05   ,A,45887.0,R    ,8.0,0.0,0,0,0,0,0,0,0,0,170,170,0,8,0,4.71,8,8,4.71
600413105 ,04,Female,Black   ,10,03   ,A,46059.0,S    ,9.0,0.0,0,0,0,0,0,0,0,0,170,170,0,9,0,5.29,9,9,5.29
600413104 ,03,Female,Black   ,9,03   ,A,46059.0,S    ,9.0,0.0,0,0,0,0,0,0,0,0,170,170,0,9,0,5.29,9,9,5.29
600406689 ,05,Male  ,Black   ,11,03   ,A,45887.0,R    ,18.0,0.0,0,0,0,0,0,0,0,0,170,170,0,18,0,10.59,18,18,10.59
600412610 ,02,Female,Black   ,7,03   ,A,45887.0,S    ,22.0,3.0,0,0,0,0,0,0,0,0,170,170,3,22,1.76,12.94,25,25,14.71
600406949 ,03,Male  ,NonBlack,9,05   ,A,45887.0,R    ,10.0,10.0,0,0,0,0,0,0,0,0,170,170,10,10,5.88,5.88,20,20,11.76
600408602 ,03,Male  ,NonBlack,8,05   ,A,45887.0,R    ,3.0,23.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,170,170,23,3,13.53,1.76,26,26,15.29
600405562 ,04,Female,NonBlack,10,05   ,A,45887.0,R    ,17.0,8.0,0,0,0,0,0,0,0,0,170,170,8,17,4.71,10,25,25,14.71
600406322 ,04,Female,NonBlack,10,05   ,A,45887.0,R    ,10.0,4.0,0,0,0,0,0,0,0,0,170,170,4,10,2.35,5.88,14,14,8.24
600411674 ,01,Female,Black   ,7,04   ,A,45887.0,R    ,14.0,3.0,0,0,0,0,0,0,0,0,170,170,3,14,1.76,8.24,17,17,10
600412517 ,04,Male  ,Black   ,10,05   ,A,45887.0,C    ,20.0,10.0,0,0,0,0,0,0,0,0,170,170,10,20,5.88,11.76,30,30,17.65
600408958 ,03,Female,NonBlack,9,04   ,A,45887.0,R    ,10.0,6.0,0,0,0,0,0,0,0,0,170,170,6,10,3.53,5.88,16,16,9.41
600408041 ,04,Female,Black   ,9,05   ,A,45887.0,R    ,16.0,0.0,0,0,0,0,0,0,0,0,170,170,0,16,0,9.41,16,16,9.41
600409876 ,KF,Female,Black   ,5,04   ,A,45924.0,R    ,27.0,0.0,0,0,0,0,0,0,0,0,170,170,0,27,0,15.88,27,27,15.88
600410311 ,02,Male  ,NonBlack,8,05   ,A,45887.0,R    ,7.0,2.0,0,0,0,0,0,0,0,0,170,170,2,7,1.18,4.12,9,9,5.29
600412771 ,KF,Female,NonBlack,7,03   ,A,45887.0,R    ,10.0,3.0,0,0,0,0,0,0,0,0,170,170,3,10,1.76,5.88,13,13,7.65
600410595 ,02,Male  ,NonBlack,9,05   ,A,45887.0,R    ,3.0,7.0,0,0,0,0,0,0,0,0,170,170,7,3,4.12,1.76,10,10,5.88
600410517 ,02,Female,Black   ,8,04   ,A,45887.0,R    ,8.0,1.0,0,0,0,0,0,0,0,0,170,170,1,8,0.59,4.71,9,9,5.29
600410407 ,01,Female,Black   ,7,04   ,A,45902.0,R    ,13.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,170,170,3,13,1.76,7.65,16,16,9.41
600409200 ,03,Female,Black   ,8,04   ,A,45887.0,R    ,13.0,1.0,0,0,0,0,0,0,0,0,170,170,1,13,0.59,7.65,14,14,8.24
600412149 ,KF,Female,Black   ,5,04   ,A,45887.0,R    ,11.0,3.0,0,0,0,0,0,0,0,0,170,170,3,11,1.76,6.47,14,14,8.24
600404981 ,05,Female,Black   ,11,05   ,A,45887.0,R    ,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,170,170,2,4,1.18,2.35,6,6,3.53
600408749 ,02,Female,Black   ,8,04   ,A,45887.0,R    ,7.0,1.0,0,0,0,0,0,0,0,0,170,170,1,7,0.59,4.12,8,8,4.71
600409877 ,KF,Female,Black   ,6,05   ,A,45887.0,R    ,23.0,0.0,0,0,0,0,0,0,0,0,170,170,0,23,0,13.53,23,23,13.53
600411363 ,04,Male  ,Black   ,10,04   ,A,45887.0,R    ,17.0,2.0,0,0,0,0,0,0,0,0,170,170,2,17,1.18,10,19,19,11.18
600411361 ,03,Female,Black   ,9,04   ,A,45887.0,R    ,35.0,1.0,0,0,0,0,0,0,0,0,170,170,1,35,0.59,20.59,36,36,21.18
600410503 ,02,Male  ,Black   ,8,04   ,A,45887.0,R    ,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,170,170,0,3,0,1.76,3,3,1.76
600409309 ,03,Female,Black   ,9,04   ,A,45887.0,R    ,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,170,170,0,3,0,1.76,3,3,1.76
600408350 ,04,Female,Black   ,10,04   ,A,45887.0,R    ,10.0,2.0,0,0,0,0,0,0,0,0,170,170,2,10,1.18,5.88,12,12,7.06
600413144 ,01,Male  ,Black   ,8,03   ,A,46112.0,R    ,14.0,0.0,0,0,0,0,0,0,0,0,170,170,0,14,0,8.24,14,14,8.24
600408289 ,04,Male  ,NonBlack,10,01   ,A,45887.0,R    ,3.0,0.0,0,0,0,0,0,0,0,0,170,170,0,3,0,1.76,3,3,1.76
600409340 ,03,Male  ,NonBlack,9,02   ,A,45887.0,R    ,14.0,1.0,0,0,0,0,0,0,0,0,170,170,1,14,0.59,8.24,15,15,8.82
600411916 ,02,Male  ,NonBlack,8,03   ,A,45887.0,R    ,8.0,30.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,170,170,30,8,17.65,4.71,38,38,22.35
600409019 ,01,Female,Black   ,7,01   ,A,45887.0,R    ,16.0,4.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,170,170,4,16,2.35,9.41,20,20,11.76
600410405 ,KF,Male  ,Black   ,6,01   ,A,45887.0,R    ,10.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,170,170,2,10,1.18,5.88,12,12,7.06
600413217 ,01,Female,Black   ,7,03   ,A,46127.0,C    ,4.0,2.0,0,0,0,0,0,0,0,0,170,170,2,4,1.18,2.35,6,6,3.53
600408738 ,01,Male  ,Black   ,7,05   ,A,45887.0,R    ,10.0,1.0,0,0,0,0,0,0,0,0,170,170,1,10,0.59,5.88,11,11,6.47
600408795 ,02,Male  ,Black   ,9,01   ,A,45887.0,R    ,8.0,1.0,0,0,0,0,0,0,0,0,170,170,1,8,0.59,4.71,9,9,5.29
600408506 ,01,Male  ,Black   ,7,02   ,A,45887.0,R    ,7.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,170,170,2,7,1.18,4.12,9,9,5.29
600410252 ,03,Female,Black   ,9,05   ,A,45887.0,R    ,13.0,0.0,0,0,0,0,0,0,0,0,170,170,0,13,0,7.65,13,13,7.65
600409879 ,KF,Female,Black   ,6,05   ,A,45887.0,R    ,10.0,0.0,0,0,0,0,0,0,0,0,170,170,0,10,0,5.88,10,10,5.88
600404972 ,04,Male  ,NonBlack,10,05   ,A,45887.0,R    ,3.0,9.0,0,0,0,0,0,0,0,0,170,170,9,3,5.29,1.76,12,12,7.06
600406821 ,03,Male  ,Black   ,9,01   ,A,45887.0,R    ,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,170,170,0,5,0,2.94,5,5,2.94
600407222 ,02,Female,Black   ,8,01   ,A,45887.0,R    ,1.0,6.0,0,0,0,0,0,0,0,0,170,170,6,1,3.53,0.59,7,7,4.12
600409394 ,01,Male  ,NonBlack,6,03   ,A,45995.0,R    ,11.0,3.0,0,0,0,0,0,0,0,0,170,170,3,11,1.76,6.47,14,14,8.24
600413137 ,KF,Female,NonBlack,6,03   ,A,46079.0,S    ,8.0,6.0,0,0,0,0,0,0,0,0,170,170,6,8,3.53,4.71,14,14,8.24
600411499 ,03,Male  ,Black   ,9,02   ,A,45887.0,R    ,2.0,0.0,0,0,0,0,0,0,0,0,170,170,0,2,0,1.18,2,2,1.18
600411350 ,KF,Male  ,Black   ,6,02   ,A,45887.0,R    ,1.0,1.0,0,0,0,0,0,0,0,0,170,170,1,1,0.59,0.59,2,2,1.18
600411498 ,01,Female,Black   ,7,02   ,A,45887.0,R    ,2.0,0.0,0,0,0,0,0,0,0,0,170,170,0,2,0,1.18,2,2,1.18
600410345 ,KF,Female,Black   ,6,05   ,A,45887.0,R    ,16.0,1.0,0,0,0,0,0,0,0,0,170,170,1,16,0.59,9.41,17,17,10
600412350 ,KF,Male  ,NonBlack,5,05   ,A,45887.0,R    ,0.0,4.0,0,0,0,0,0,0,0,0,170,170,4,0,2.35,0,4,4,2.35
600408393 ,04,Female,NonBlack,10,04   ,A,46064.0,R    ,15.0,0.0,0,0,0,0,0,0,0,0,170,170,0,15,0,8.82,15,15,8.82
600408571 ,02,Female,NonBlack,7,04   ,A,46064.0,R    ,14.0,0.0,0,0,0,0,0,0,0,0,170,170,0,14,0,8.24,14,14,8.24
600413147 ,KF,Male  ,Black   ,6,04   ,A,46085.0,HS   ,3.0,0.0,0,0,0,0,0,0,0,0,170,170,0,3,0,1.76,3,3,1.76
600413148 ,01,Female,Black   ,7,04   ,A,46085.0,HS   ,9.0,0.0,0,0,0,0,0,0,0,0,170,170,0,9,0,5.29,9,9,5.29
600409872 ,05,Female,Black   ,10,04   ,A,45887.0,R    ,11.0,0.0,0,0,0,0,0,0,0,0,170,170,0,11,0,6.47,11,11,6.47
600412581 ,KF,Male  ,Black   ,6,02   ,A,45887.0,R    ,26.0,10.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,170,170,10,26,5.88,15.29,36,36,21.18
600409364 ,02,Female,NonBlack,8,02   ,A,45887.0,R    ,11.0,1.0,0,0,0,0,0,0,0,0,170,170,1,11,0.59,6.47,12,12,7.06
600406729 ,05,Female,NonBlack,10,02   ,A,45887.0,R    ,13.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,170,170,8,13,4.71,7.65,21,21,12.35
600408879 ,03,Female,NonBlack,9,02   ,A,45887.0,R    ,9.0,1.0,0,0,0,0,0,0,0,0,170,170,1,9,0.59,5.29,10,10,5.88
600411482 ,01,Female,NonBlack,7,03   ,A,45887.0,R    ,17.0,16.0,0,0,0,0,0,0,0,0,170,170,16,17,9.41,10,33,33,19.41
600405544 ,04,Female,NonBlack,10,04   ,A,45918.0,R    ,12.0,19.0,0,0,0,0,0,0,0,0,170,170,19,12,11.18,7.06,31,31,18.24
600408507 ,01,Male  ,Black   ,7,03   ,A,45887.0,R    ,8.0,6.0,0,0,0,0,0,0,0,0,170,170,6,8,3.53,4.71,14,14,8.24
600408827 ,02,Male  ,Black   ,8,05   ,A,45887.0,R    ,23.0,0.0,0,0,0,0,0,0,0,0,170,170,0,23,0,13.53,23,23,13.53
600411864 ,KF,Female,Black   ,6,04   ,A,45887.0,R    ,25.0,0.0,0,0,0,0,0,0,0,0,170,170,0,25,0,14.71,25,25,14.71
600411324 ,03,Female,Black   ,9,03   ,A,45887.0,R    ,3.0,2.0,0,0,0,0,0,0,0,0,170,170,2,3,1.18,1.76,5,5,2.94
600411321 ,01,Female,Black   ,7,03   ,A,45887.0,R    ,5.0,1.0,0,0,0,0,0,0,0,0,170,170,1,5,0.59,2.94,6,6,3.53
600410495 ,03,Female,NonBlack,9,03   ,A,45887.0,R    ,9.0,0.0,0,0,0,0,0,0,0,0,170,170,0,9,0,5.29,9,9,5.29
600410494 ,02,Male  ,NonBlack,7,03   ,A,45887.0,R    ,11.0,0.0,0,0,0,0,0,0,0,0,170,170,0,11,0,6.47,11,11,6.47
600411527 ,03,Female,NonBlack,11,02   ,A,46113.0,R    ,4.0,0.0,0,0,0,0,0,0,0,0,170,170,0,4,0,2.35,4,4,2.35
600407349 ,04,Male  ,Black   ,10,05   ,A,45887.0,R    ,0,0,0,0,0,0,0,0,0,0,170,170,0,0,0,0,0,0,0
600412193 ,02,Male  ,Black   ,8,06   ,A,45887.0,C    ,8.0,1.0,0,0,0,0,0,0,0,0,170,170,1,8,0.59,4.71,9,9,5.29
