school,treatment,subject,wave,n,mean_score,sd_score,se_score
JES,0,ELA,Summer 2025,88,1047.2613636363637,20.808096522213248,2.218150542266275
JMTES,1,ELA,Summer 2025,63,1043.111111111111,17.899460355094067,2.2551200334208947
JES,0,ELA,Winter 2025,89,1047.4606741573034,18.396551171208497,1.9500305240909526
JMTES,1,ELA,Winter 2025,65,1049.1384615384616,15.855674184535763,1.9666543392118578
JES,0,ELA,Summer 2026,90,1050.6777777777777,21.09040347176288,2.223123724756446
JMTES,1,ELA,Summer 2026,66,1053.0454545454545,17.27731444425303,2.1266903950618667
JES,0,Math,Summer 2025,87,1049.551724137931,16.79268848420843,1.8003651817546145
JMTES,1,Math,Summer 2025,63,1048.5555555555557,11.807293778844004,1.487579190261967
JES,0,Math,Winter 2025,88,1044.625,14.097617390607322,1.5028110632923963
JMTES,1,Math,Winter 2025,64,1045.71875,12.508370213454086,1.5635462766817607
JES,0,Math,Summer 2026,90,1049.3666666666666,16.606110963988968,1.7504377907899835
JMTES,1,Math,Summer 2026,66,1050.6969696969697,13.144135512398613,1.6179312378555408
