domain,model,covariate,treated_mean_unweighted,control_mean_unweighted,smd_unweighted,treated_mean_weighted,control_mean_weighted,smd_weighted,abs_smd_unweighted,abs_smd_weighted,improvement
Academic,Grade 1 ELA,baseline_atlas_score,1044.593220338983,1038.9279279279278,0.24501090657324048,1043.0497998083179,1043.0472281824432,0.00011217614682040869,0.24501090657324048,0.00011217614682040869,0.24489873042642007
Academic,Grade 1 ELA,female,0.4745762711864407,0.43243243243243246,0.0847304274215038,0.4617300852263993,0.45885388931509297,0.005770641996061682,0.0847304274215038,0.005770641996061682,0.07895978542544212
Academic,Grade 1 ELA,black,0.6949152542372882,0.6036036036036037,0.1922298703284447,0.6640272516996171,0.6589294392758708,0.010773060743629732,0.1922298703284447,0.010773060743629732,0.18145680958481497
Academic,Grade 1 ELA,age,6.915254237288136,7.009009009009009,-0.218458074840667,6.942671940073715,6.94288947093528,-0.0005243122151656391,0.218458074840667,0.0005243122151656391,0.21793376262550138
Academic,Grade 1 ELA,meal_status_disadvantaged,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Academic,Grade 1 ELA,entry_code=C,0.1016949152542373,0.0990990990990991,0.0086375813762699,0.10534363381101171,0.11583644385132794,-0.03346135974687449,0.0086375813762699,0.03346135974687449,-0.024823778370604586
Academic,Grade 1 ELA,entry_code=HS,0.01694915254237288,0.0,0.18569533817705186,0.014444974504466516,0.0,0.17121150672836102,0.18569533817705186,0.17121150672836102,0.014483831448690837
Academic,Grade 1 ELA,entry_code=R,0.8813559322033898,0.8828828828828829,-0.00473523332397007,0.8802113916845219,0.8709952542971989,0.027927572436383743,0.00473523332397007,0.027927572436383743,-0.023192339112413675
Academic,Grade 1 ELA,entry_code=S,0.0,0.018018018018018018,-0.1915652570442303,0.0,0.013168301851472941,-0.16336474487400438,0.1915652570442303,0.16336474487400438,0.028200512170225928
Academic,Grade 1 Math,baseline_atlas_score,1050.7118644067796,1051.972972972973,-0.06922173662687556,1051.5207169876116,1051.5131998132078,0.00042619184474528417,0.06922173662687556,0.00042619184474528417,0.06879554478213028
Academic,Grade 1 Math,female,0.4745762711864407,0.43243243243243246,0.0847304274215038,0.46172790216317344,0.4590487997743325,0.005375118691346609,0.0847304274215038,0.005375118691346609,0.0793553087301572
Academic,Grade 1 Math,black,0.6949152542372882,0.6036036036036037,0.1922298703284447,0.6700960869031143,0.6652270488194106,0.010336666378421839,0.1922298703284447,0.010336666378421839,0.18189320395002287
Academic,Grade 1 Math,age,6.915254237288136,7.009009009009009,-0.218458074840667,6.946951898913852,6.947173832193875,-0.000532280074054569,0.218458074840667,0.000532280074054569,0.21792579476661245
