school,treatment,grade,teacher,student_id,subject,wave,score
JMTES,1,1,Robinson,3284403584,ELA,Summer 2025,1068.0
JMTES,1,1,Robinson,3284403584,ELA,Winter 2025,1067.0
JMTES,1,1,Robinson,3284403584,ELA,Summer 2026,1070.0
JMTES,1,1,Robinson,3284403584,Math,Summer 2025,1069.0
JMTES,1,1,Robinson,3284403584,Math,Winter 2025,1081.0
JMTES,1,1,Robinson,3284403584,Math,Summer 2026,1079.0
JMTES,1,1,Livingston,6381311052,ELA,Summer 2025,1004.0
JMTES,1,1,Livingston,6381311052,ELA,Winter 2025,1090.0
JMTES,1,1,Livingston,6381311052,ELA,Summer 2026,1090.0
JMTES,1,1,Livingston,6381311052,Math,Summer 2025,1081.0
JMTES,1,1,Livingston,6381311052,Math,Winter 2025,1078.0
JMTES,1,1,Livingston,6381311052,Math,Summer 2026,1086.0
JMTES,1,1,Williams,1635064503,ELA,Summer 2025,1049.0
JMTES,1,1,Williams,1635064503,ELA,Winter 2025,1037.0
JMTES,1,1,Williams,1635064503,ELA,Summer 2026,1044.0
JMTES,1,1,Williams,1635064503,Math,Summer 2025,1031.0
JMTES,1,1,Williams,1635064503,Math,Winter 2025,1017.0
JMTES,1,1,Williams,1635064503,Math,Summer 2026,1009.0
JMTES,1,1,Robinson,7832767082,ELA,Summer 2025,1064.0
JMTES,1,1,Robinson,7832767082,ELA,Winter 2025,1029.0
JMTES,1,1,Robinson,7832767082,ELA,Summer 2026,1069.0
JMTES,1,1,Robinson,7832767082,Math,Summer 2025,1060.0
JMTES,1,1,Robinson,7832767082,Math,Winter 2025,1047.0
JMTES,1,1,Robinson,7832767082,Math,Summer 2026,1058.0
JMTES,1,1,Williams,6483447485,ELA,Summer 2025,1004.0
JMTES,1,1,Williams,6483447485,ELA,Winter 2025,1036.0
JMTES,1,1,Williams,6483447485,ELA,Summer 2026,1049.0
JMTES,1,1,Williams,6483447485,Math,Summer 2025,1042.0
