school,treatment,grade,teacher,student_id,subject,wave,score
JMTES,1,4,,1162006831,ELA,Fall 2025,1011.0
JMTES,1,4,,1162006831,ELA,Winter 2025,1033.0
JMTES,1,4,,1162006831,ELA,Summer 2026,1041.0
JMTES,1,4,,1162006831,Math,Fall 2025,1027.0
JMTES,1,4,,1162006831,Math,Winter 2025,1027.0
JMTES,1,4,,1162006831,Math,Summer 2026,1043.0
JMTES,1,4,,1162006831,Science,Fall 2025,1012.0
JMTES,1,4,,1162006831,Science,Winter 2025,1054.0
JMTES,1,4,,1162006831,Science,Summer 2026,1049.0
JMTES,1,4,,3305415077,ELA,Summer 2026,1040.0
JMTES,1,4,,3305415077,Math,Summer 2026,1035.0
JMTES,1,4,,3305415077,Science,Summer 2026,1026.0
JMTES,1,4,,2318871368,ELA,Fall 2025,1064.0
JMTES,1,4,,2318871368,ELA,Winter 2025,1086.0
JMTES,1,4,,2318871368,ELA,Summer 2026,1068.0
JMTES,1,4,,2318871368,Math,Fall 2025,1041.0
JMTES,1,4,,2318871368,Math,Winter 2025,1058.0
JMTES,1,4,,2318871368,Math,Summer 2026,1071.0
JMTES,1,4,,2318871368,Science,Fall 2025,1060.0
JMTES,1,4,,2318871368,Science,Winter 2025,1076.0
JMTES,1,4,,2318871368,Science,Summer 2026,1081.0
JMTES,1,4,,7188445256,ELA,Fall 2025,1078.0
JMTES,1,4,,7188445256,ELA,Winter 2025,1075.0
JMTES,1,4,,7188445256,ELA,Summer 2026,1089.0
JMTES,1,4,,7188445256,Math,Fall 2025,1051.0
JMTES,1,4,,7188445256,Math,Winter 2025,1062.0
JMTES,1,4,,7188445256,Math,Summer 2026,1076.0
JMTES,1,4,,7188445256,Science,Fall 2025,1059.0
JMTES,1,4,,7188445256,Science,Winter 2025,1064.0
JMTES,1,4,,7188445256,Science,Summer 2026,1063.0
JMTES,1,4,,3810624845,ELA,Fall 2025,1040.0
JMTES,1,4,,3810624845,ELA,Winter 2025,1046.0
JMTES,1,4,,3810624845,ELA,Summer 2026,1054.0
JMTES,1,4,,3810624845,Math,Fall 2025,1034.0
JMTES,1,4,,3810624845,Math,Winter 2025,1049.0
JMTES,1,4,,3810624845,Math,Summer 2026,1047.0
JMTES,1,4,,3810624845,Science,Fall 2025,1041.0
JMTES,1,4,,3810624845,Science,Winter 2025,1059.0
JMTES,1,4,,3810624845,Science,Summer 2026,1060.0
JMTES,1,4,,5211015278,ELA,Fall 2025,1033.0
JMTES,1,4,,5211015278,ELA,Winter 2025,1048.0
JMTES,1,4,,5211015278,ELA,Summer 2026,1057.0
JMTES,1,4,,5211015278,Math,Fall 2025,1033.0
JMTES,1,4,,5211015278,Math,Winter 2025,1001.0
JMTES,1,4,,5211015278,Math,Summer 2026,1050.0
JMTES,1,4,,5211015278,Science,Fall 2025,1034.0
JMTES,1,4,,5211015278,Science,Winter 2025,1047.0
JMTES,1,4,,5211015278,Science,Summer 2026,1042.0
JMTES,1,4,,2146268416,ELA,Fall 2025,1056.0
JMTES,1,4,,2146268416,ELA,Winter 2025,1066.0
JMTES,1,4,,2146268416,ELA,Summer 2026,1073.0
JMTES,1,4,,2146268416,Math,Fall 2025,1060.0
JMTES,1,4,,2146268416,Math,Winter 2025,1061.0
JMTES,1,4,,2146268416,Math,Summer 2026,1083.0
JMTES,1,4,,2146268416,Science,Fall 2025,1076.0
JMTES,1,4,,2146268416,Science,Winter 2025,1067.0
JMTES,1,4,,2146268416,Science,Summer 2026,1071.0
JMTES,1,4,,6844606373,ELA,Fall 2025,1046.0
JMTES,1,4,,6844606373,ELA,Winter 2025,1063.0
JMTES,1,4,,6844606373,ELA,Summer 2026,1067.0
JMTES,1,4,,6844606373,Math,Fall 2025,1050.0
JMTES,1,4,,6844606373,Math,Winter 2025,1047.0
JMTES,1,4,,6844606373,Math,Summer 2026,1062.0
JMTES,1,4,,6844606373,Science,Fall 2025,1050.0
JMTES,1,4,,6844606373,Science,Winter 2025,1041.0
JMTES,1,4,,6844606373,Science,Summer 2026,1057.0
JMTES,1,4,,5506771466,ELA,Fall 2025,1054.0
JMTES,1,4,,5506771466,ELA,Winter 2025,1074.0
JMTES,1,4,,5506771466,ELA,Summer 2026,1083.0
JMTES,1,4,,5506771466,Math,Fall 2025,1067.0
JMTES,1,4,,5506771466,Math,Winter 2025,1069.0
JMTES,1,4,,5506771466,Math,Summer 2026,1083.0
JMTES,1,4,,5506771466,Science,Fall 2025,1058.0
JMTES,1,4,,5506771466,Science,Winter 2025,1060.0
JMTES,1,4,,5506771466,Science,Summer 2026,1079.0
