school,treatment,subject,wave,n,mean_score,sd_score,se_score
JES,0,ELA,Summer 2025,109,1041.5504587155963,15.591121784250657,1.4933586261039375
JMTES,1,ELA,Summer 2025,60,1051.8333333333333,18.40243781443438,2.3757445061640654
JMTES,1,ELA,Fall 2025,69,1042.695652173913,15.223148344685361,1.8326517001261624
JES,0,ELA,Winter 2025,115,1040.1391304347826,16.030610497464966,1.494862136791373
JMTES,1,ELA,Winter 2025,72,1049.861111111111,16.42508006330782,1.935714249049488
JES,0,ELA,Summer 2026,120,1044.075,13.552985035088932,1.2372126042080256
JMTES,1,ELA,Summer 2026,76,1054.7631578947369,15.865995857852841,1.8199545416583012
JES,0,Math,Summer 2025,109,1037.5688073394494,18.636069652233772,1.7850117366121707
JMTES,1,Math,Summer 2025,60,1046.0166666666667,15.49137722610814,1.9999282002177892
JES,0,Math,Fall 2025,102,1032.8823529411766,15.869700950876132,1.5713345404284595
JMTES,1,Math,Fall 2025,70,1036.0428571428572,13.470779664217835,1.6100661244713113
JES,0,Math,Winter 2025,112,1034.0714285714287,15.875480718103878,1.5000919258465701
JMTES,1,Math,Winter 2025,72,1042.5,16.066762121548404,1.8934860746430064
JES,0,Math,Summer 2026,121,1039.6528925619834,16.95027568300963,1.5409341530008753
JMTES,1,Math,Summer 2026,76,1052.4868421052631,16.11168803161451,1.8481373668331946
JES,0,Science,Summer 2025,109,1043.788990825688,11.817339265057536,1.131895816944811
JMTES,1,Science,Summer 2025,60,1055.4666666666667,14.27391441645779,1.8427544273376992
JMTES,1,Science,Fall 2025,71,1044.887323943662,15.461980371935958,1.8349994704766968
JES,0,Science,Winter 2025,113,1040.3185840707965,11.462100193000706,1.0782636847059421
JMTES,1,Science,Winter 2025,72,1049.9583333333333,14.920859300104707,1.7584401320390672
JES,0,Science,Summer 2026,121,1044.611570247934,11.755404360567132,1.068673123687921
JMTES,1,Science,Summer 2026,76,1053.75,15.158825812047581,1.738836574143455
